,carat,Ideal,Premium,Very Good,Good,Fair,D,E,F,G,H,I,J,IF,VVS1,VVS2,VS1,VS2,SI1,SI2,I1
14,0.34,1105.0,599.8918918918919,807.5593667546174,709.96,655.025,873.7378640776699,777.9473684210526,786.8235294117648,764.3630136986301,682.0190476190476,587.1730769230769,477.125,809.2,1088.9433962264152,633.8489208633093,511.53846153846155,749.8404255319149,719.9264705882352,960.7936507936508,833.0925925925926
15,0.35,975.5,613.2962962962963,824.6857142857143,795.9833333333333,724.1818181818181,842.1414141414141,826.0353982300885,792.3253012048193,859.5897435897435,741.9324324324324,611.921052631579,583.8333333333334,0.0,983.3673469387755,663.9042553191489,560.25,797.6585365853658,808.2569444444445,949.5689655172414,795.7058823529412
16,0.36,810.0,674.1538461538462,806.1486486486486,779.552,725.9705882352941,843.0,823.4766355140187,800.719512195122,779.0,708.4615384615385,620.65625,495.1666666666667,0.0,1027.3214285714287,670.3084112149533,538.7096774193549,814.6428571428571,800.9411764705883,934.6363636363636,890.9736842105264
17,0.37,1303.0,701.2727272727273,839.6299212598425,848.7596153846154,733.6862745098039,954.6,865.8333333333334,816.1969696969697,809.3921568627451,688.6785714285714,664.7272727272727,532.2222222222222,0.0,1013.0769230769231,684.8253968253969,548.7777777777778,829.0416666666666,822.0093457943925,1041.3,937.5428571428571
18,0.38,0.0,800.1578947368421,926.547619047619,919.75,809.6421052631579,1035.0149253731342,976.1052631578947,949.359649122807,857.989247311828,813.5370370370371,699.5769230769231,623.7222222222222,567.5,1231.0,718.3214285714286,635.2222222222222,933.2347826086957,837.1219512195122,1145.032258064516,999.0857142857143
19,0.39,864.0,837.0526315789474,937.6597222222222,990.6666666666666,850.9733333333334,1077.142857142857,965.5076923076923,988.4516129032259,938.7179487179487,776.5769230769231,757.25,698.9130434782609,583.0,1230.92,736.4594594594595,624.7333333333333,935.2388059701492,840.9041095890411,1044.3823529411766,1014.0943396226415
20,0.4,799.0,786.3960396039604,985.4,962.900826446281,879.2070484581498,960.8379888268156,955.9364406779661,987.7431693989071,954.2707182320441,874.3152173913044,819.7313432835821,716.7916666666666,560.5,1177.658536585366,795.7099567099567,697.9278350515464,955.814606741573,893.8546511627907,1178.625,1066.2758620689656
21,0.41,912.0,792.4597701149426,1041.235173824131,979.2175572519084,888.7336956521739,1000.94,1020.3625498007968,1044.9301310043668,944.5570776255707,901.7341772151899,864.1764705882352,717.8888888888889,554.0,1275.7179487179487,819.1605504587156,728.9367088607595,986.8421052631579,925.5287958115183,1203.2047244094488,1121.3312101910828
22,0.42,675.0,860.4090909090909,1043.1661129568106,984.0151515151515,892.2790697674419,1021.6699029126214,1019.3296703296703,1016.340206185567,1017.5281690140845,958.6521739130435,856.4375,700.625,0.0,1258.5217391304348,843.7350993377484,730.9032258064516,1028.09,954.370786516854,1218.328947368421,1123.25
23,0.43,1045.5,800.6923076923077,1054.638418079096,1016.13,907.2463768115942,1018.8653846153846,989.5333333333333,995.9411764705883,1063.7247706422017,946.4871794871794,889.7894736842105,702.0,573.3333333333334,1351.4761904761904,863.4903846153846,782.7179487179487,1007.566037735849,968.6290322580645,1266.8181818181818,1087.3513513513512
24,0.44,0.0,1048.1666666666667,1150.109589041096,1011.7254901960785,954.9166666666666,1309.047619047619,1064.3902439024391,1050.8947368421052,1074.2954545454545,971.4375,950.2857142857143,767.8,0.0,1488.4285714285713,900.6136363636364,809.5,1074.655172413793,998.2608695652174,1324.76,1166.6818181818182
25,0.45,943.625,1090.0714285714287,1085.3125,1105.9375,1031.6666666666667,1238.0,1036.4166666666667,1068.3157894736842,1133.625,1059.6,875.75,790.0,0.0,1434.0,894.2307692307693,798.0833333333334,1092.1875,984.3076923076923,1306.3333333333333,1306.9
26,0.46,990.5555555555555,1294.8125,1243.2333333333333,1275.15,1229.0882352941176,1532.2666666666667,1275.3333333333333,1176.7931034482758,1295.24,1180.2307692307693,997.4375,962.4,0.0,1640.7142857142858,993.952380952381,838.3571428571429,1252.8484848484848,1157.6774193548388,1509.8095238095239,1400.0
27,0.47,1238.5,1205.6666666666667,1377.774193548387,1152.0,1215.6153846153845,1766.625,1401.4705882352941,1325.75,1235.857142857143,1101.3333333333333,992.0,884.2,0.0,1767.0,980.8,875.375,1364.0666666666666,1123.75,1886.7142857142858,1669.3333333333333
28,0.48,1120.75,1199.875,1364.3125,1123.142857142857,1686.4,2249.6666666666665,1376.25,1458.3846153846155,1240.4444444444443,1160.6,976.2,1035.5,0.0,1957.0,997.1666666666666,958.25,1322.111111111111,1224.5,2038.3333333333333,1762.0
29,0.49,1705.0,1472.0,1179.3333333333333,1160.3157894736842,1409.75,1617.3333333333333,1344.3333333333333,1251.6363636363637,1238.75,1159.8333333333333,0.0,900.0,0.0,1865.0,1116.4,1026.7142857142858,1493.0,1198.625,1952.0,1744.3333333333333
30,0.5,1193.5833333333333,1381.827067669173,1599.248322147651,1554.3626943005181,1489.2520661157025,1599.6153846153845,1511.5166051660517,1500.8064516129032,1585.875,1364.5555555555557,1156.3125,1015.8421052631579,780.8571428571429,2289.3076923076924,1284.5829787234043,1103.394495412844,1606.9703703703703,1547.0898876404494,1941.1025641025642,1963.2280701754387
31,0.51,1670.6666666666667,1448.5066666666667,1685.585,1588.2,1557.1243243243243,1706.9764705882353,1642.225806451613,1686.2884615384614,1645.2663316582914,1406.9193548387098,1134.357142857143,995.8888888888889,0.0,2297.714285714286,1387.4065420560748,1142.1538461538462,1728.0575539568345,1619.0806451612902,2147.3684210526317,2052.7735849056603
32,0.52,1617.6,1388.0,1737.6301775147929,1624.225806451613,1550.388888888889,1812.908256880734,1699.5255474452554,1711.1458333333333,1649.3354037267081,1458.1896551724137,1308.5185185185185,1105.125,920.5,2267.75,1356.015503875969,1162.9310344827586,1756.85,1660.3426966292134,2173.609756097561,2057.722222222222
33,0.53,1457.25,1396.560975609756,1753.4146341463415,1580.25,1554.9080459770114,1846.1666666666667,1714.3934426229507,1768.4158415841584,1671.7339449541284,1459.40625,1228.12,1062.7333333333333,886.0,2326.2631578947367,1402.719298245614,1173.2833333333333,1729.6777777777777,1663.9685534591194,2320.90625,2058.9473684210525
34,0.54,1114.0,1545.0,1763.3379790940767,1687.5217391304348,1563.5675675675675,1946.432098765432,1724.8255813953488,1727.8,1711.584745762712,1538.4328358208954,1307.08,1228.6666666666667,0.0,2166.8333333333335,1414.7181818181818,1183.75,1786.1935483870968,1716.079365079365,2164.4444444444443,2127.3684210526317
35,0.55,0.0,1380.6666666666667,1785.5641025641025,1655.6338028169014,1708.4117647058824,1956.7931034482758,1787.010989010989,1739.18,1769.527027027027,1538.121212121212,1368.7,1095.5833333333333,0.0,2293.75,1463.8118811881188,1213.1714285714286,1879.8032786885246,1713.5,2224.714285714286,2253.128205128205
36,0.56,1461.1666666666667,1617.1666666666667,1868.1777777777777,1738.9830508474577,1747.0,2019.2,1901.7692307692307,1807.0140845070423,1765.8382352941176,1569.0243902439024,1489.2,1158.625,953.0,2723.9333333333334,1526.0113636363637,1286.5238095238096,1897.3538461538462,1768.482456140351,2176.391304347826,2237.529411764706
37,0.57,1777.25,1577.6666666666667,1904.6494252873563,1667.5483870967741,1639.85,1983.2941176470588,1899.9444444444443,1930.0454545454545,1692.857142857143,1618.8181818181818,1330.3157894736842,1280.5,974.0,2491.1428571428573,1478.1475409836066,1262.0,1902.671875,1761.89,2413.8571428571427,2297.793103448276
38,0.58,1516.6,1723.4375,1865.388888888889,1851.1470588235295,1631.75,2025.3333333333333,1866.2033898305085,1922.1538461538462,1771.5,1551.125,1494.1538461538462,1203.75,893.0,2375.0,1477.9285714285713,1301.6774193548388,2038.9772727272727,1750.3793103448277,2375.85,2284.3793103448274
39,0.59,1229.0,1552.1666666666667,1973.9122807017543,1680.764705882353,1747.0985915492959,2098.35,1944.611111111111,1771.4864864864865,1891.9803921568628,1592.904761904762,1462.2727272727273,1353.0,940.0,2837.6153846153848,1581.876923076923,1325.4642857142858,1925.8,1749.4912280701753,2410.8571428571427,2299.6206896551726
40,0.6,1747.25,1725.7,2169.285714285714,1757.820512820513,1949.9032258064517,2192.0625,2004.5757575757575,2070.4166666666665,2016.75,1660.5882352941176,1243.6,1200.0,835.0,2647.75,1672.862745098039,1244.625,2109.714285714286,1954.9032258064517,3051.6666666666665,2484.04
41,0.61,1305.5,1891.5333333333333,2312.5890410958905,1835.8095238095239,1928.060606060606,2367.9615384615386,2310.88,2187.84375,2066.862068965517,1855.75,1514.8,1308.6666666666667,1255.0,2581.2,1639.0454545454545,1546.0,2191.689655172414,1871.75,2941.0,2597.375
42,0.62,1534.0,1688.0,2200.9767441860463,1761.967741935484,1902.8823529411766,2244.0,2068.3529411764707,1914.409090909091,1981.24,2004.3076923076924,1498.857142857143,1159.0,933.0,2742.25,1626.3636363636363,1369.0588235294117,2160.6470588235293,1827.095238095238,2806.6666666666665,2554.5
43,0.63,1760.0,1695.5,2370.157894736842,2057.9411764705883,2194.285714285714,2788.285714285714,2473.6,2260.6,1977.7857142857142,1847.8,1635.75,1236.25,0.0,4396.25,1705.142857142857,1279.5714285714287,2175.8125,2049.1666666666665,2689.5,2677.7272727272725
44,0.64,1735.6666666666667,1862.5,2461.0,1948.5555555555557,1823.4615384615386,2403.076923076923,2290.4444444444443,2213.076923076923,2378.1,1743.2222222222222,1512.25,1425.0,1140.0,2680.25,1809.2941176470588,1365.8333333333333,2306.8,2077.846153846154,3104.6,2678.8888888888887
45,0.65,1770.0,2078.0,2802.2380952380954,1986.1,2246.3333333333335,3216.4545454545455,2398.3333333333335,2168.75,2243.5555555555557,2159.285714285714,1924.2,1214.0,0.0,3279.25,1727.5833333333333,1599.3333333333333,2313.625,2106.25,3127.875,2830.5
46,0.66,0.0,2098.6666666666665,2340.8333333333335,2111.6,2568.6666666666665,3153.0,2140.1428571428573,2241.3333333333335,2316.5,2014.6666666666667,0.0,1252.0,0.0,3051.0,1775.3333333333333,1637.6666666666667,2363.4444444444443,1954.8333333333333,2816.0,3422.0
47,0.67,1539.0,2122.4166666666665,1966.4,2065.777777777778,2148.6,2038.5,1808.0,2112.1666666666665,2185.4,2019.0,1736.6666666666667,1581.0,0.0,2066.0,1870.2857142857142,1578.6666666666667,2181.2,2059.6111111111113,2877.5,2414.5
48,0.68,0.0,2407.6666666666665,3364.6666666666665,2089.285714285714,2480.0,3117.0,2327.3333333333335,2475.0,2441.4285714285716,1666.0,0.0,0.0,0.0,3143.0,1886.2857142857142,1821.0,2754.25,2060.5,3775.0,2983.0
49,0.69,1817.6666666666667,2388.6666666666665,2414.6,1729.0,2441.1666666666665,3369.0,0.0,2627.6,2274.1666666666665,1800.3333333333333,1811.0,0.0,0.0,0.0,1961.875,1701.0,1869.3333333333333,2070.0,3553.5,2971.6666666666665
50,0.7,1924.2745098039215,2387.4862385321103,2790.455205811138,2477.3707482993195,2504.711904761905,2965.1761363636365,2694.073943661972,2573.1628571428573,2450.281632653061,2323.926108374384,2130.717391304348,1878.862745098039,1157.78125,3480.2727272727275,2347.2819956616054,2116.6355140186915,2807.1176470588234,2606.8447204968943,3270.239436619718,3055.6938775510203
51,0.71,2245.59375,2395.879120879121,2935.755376344086,2575.625,2563.340740740741,2995.4028776978416,2904.537688442211,2842.3351351351353,2594.1964285714284,2486.96261682243,2314.733870967742,1861.8372093023256,1604.5,3297.5,2459.711678832117,2224.2066666666665,2957.878612716763,2743.4663865546217,3316.4074074074074,3136.3275862068967
52,0.72,2248.714285714286,2474.9189189189187,2902.861209964413,2464.2,2640.280303030303,2980.731343283582,2975.440366972477,2871.159663865546,2647.6960784313724,2596.7125,2387.7166666666667,1934.3783783783783,1046.0,3280.75,2520.875816993464,2242.6018518518517,3008.4395604395604,2799.7578125,3408.5454545454545,3087.9411764705883
53,0.73,1969.0,2602.1666666666665,3029.09375,2571.7462686567164,2735.082191780822,3283.156862745098,2934.439024390244,2829.3088235294117,2834.92,2666.0882352941176,2371.340909090909,1991.888888888889,1214.1666666666667,3607.0,2606.7319587628867,2297.793103448276,3139.8507462686566,2965.5675675675675,3606.0476190476193,3114.1714285714284
54,0.74,2507.777777777778,2464.133333333333,3057.641304347826,2691.396226415094,2716.9538461538464,3252.8888888888887,2935.122807017544,2916.181818181818,2719.6136363636365,2615.1714285714284,2591.7368421052633,2025.25,1865.0,3204.0,2574.7678571428573,2376.5208333333335,3137.744680851064,2899.0392156862745,3384.1666666666665,3400.5625
55,0.75,2439.8888888888887,2601.3529411764707,2948.1451612903224,2522.8536585365855,2744.4423076923076,2956.0,2980.8653846153848,2797.030303030303,2735.9615384615386,2489.6666666666665,2457.0,1993.4117647058824,1013.0,0.0,2679.6301369863013,2364.3846153846152,2863.9,2912.8,3760.6666666666665,3577.0
56,0.76,2507.6,2637.222222222222,2998.4772727272725,2688.088888888889,2858.184210526316,3358.6315789473683,3152.720930232558,2926.176470588235,2787.074074074074,2717.0333333333333,2573.705882352941,2021.8666666666666,1629.0,4390.333333333333,2645.5714285714284,2427.3529411764707,3056.7,3008.3653846153848,3608.875,3435.6363636363635
57,0.77,2244.714285714286,2739.65,3053.9846153846156,2712.183673469388,2899.921568627451,3296.1724137931033,3008.4848484848485,3126.542857142857,2856.793103448276,2772.5714285714284,2407.0,2028.4705882352941,0.0,0.0,2749.7719298245615,2475.0263157894738,3125.4166666666665,2899.733333333333,4203.2,3181.909090909091
58,0.78,2520.75,2715.777777777778,3103.25,2766.9565217391305,2993.4871794871797,3461.5,3396.3333333333335,2860.4137931034484,2873.2380952380954,2556.9333333333334,2518.0833333333335,2216.75,0.0,0.0,2801.657142857143,2389.294117647059,3453.7083333333335,3279.4594594594596,4904.0,3169.75
59,0.79,2362.0,2555.6666666666665,3141.4897959183672,2711.4333333333334,2975.757575757576,3201.35,3284.1481481481483,3001.6315789473683,2749.5652173913045,2614.125,2736.3076923076924,2117.75,0.0,0.0,2892.0819672131147,2565.375,3270.818181818182,3086.7,4013.6666666666665,3699.6666666666665
60,0.8,2152.8,2655.9473684210525,3444.6,2771.6052631578946,3137.5846153846155,3563.318181818182,3363.6666666666665,3343.9811320754716,2912.948717948718,2907.722222222222,2780.9285714285716,2139.8888888888887,1432.3333333333333,4800.666666666667,2969.688524590164,2623.4464285714284,3525.8285714285716,3287.975,3779.5,4582.285714285715
61,0.81,2342.1666666666665,2822.153846153846,3270.3728813559323,2841.75,2954.7714285714287,3403.214285714286,3258.4137931034484,3275.4242424242425,2914.4666666666667,2735.1363636363635,2623.6875,2329.5555555555557,2608.0,6338.0,2928.962962962963,2635.8297872340427,3345.0,3161.0454545454545,5752.0,3941.5714285714284
62,0.82,2584.6666666666665,2505.0,3342.78,2712.5652173913045,3056.818181818182,4008.3333333333335,3275.0,3244.1666666666665,2960.625,2865.133333333333,2718.8571428571427,2251.5714285714284,0.0,0.0,3020.342105263158,2739.266666666667,3124.25,3551.6315789473683,3431.5,4135.5
63,0.83,2481.5,2577.0,3345.3829787234044,3125.9,3345.7619047619046,4035.4545454545455,3376.6,3391.090909090909,3147.9473684210525,2882.5,2842.125,2348.6666666666665,0.0,7889.0,3119.235294117647,2702.962962962963,4099.1,3221.782608695652,4038.25,0.0
64,0.84,2707.0,2812.0,3387.75,3362.25,3457.6470588235293,3886.0,3467.875,2940.5,3316.2,2593.0,3225.75,2515.6,1749.0,0.0,3357.0,2820.8571428571427,3617.5,3261.3333333333335,6399.0,3989.6666666666665
65,0.85,1767.7142857142858,2298.0,3604.7,3161.625,3785.8333333333335,4461.75,3769.2,4244.75,3051.1,2004.1666666666667,2807.25,2181.1666666666665,1446.5,0.0,3149.090909090909,2935.0,3705.285714285714,3436.0,7230.0,4490.5
66,0.86,3756.0,3838.0,3515.090909090909,2876.375,3335.285714285714,4053.25,3829.6666666666665,3056.6666666666665,3529.0,2987.5,2820.8,1950.0,1828.0,0.0,3397.222222222222,2959.3333333333335,3693.6666666666665,3553.0,5029.0,3544.0
67,0.87,0.0,0.0,3894.1428571428573,3297.5,2852.4285714285716,3896.0,3566.0,3174.75,4084.6666666666665,3073.6666666666665,2791.0,2333.3333333333335,0.0,0.0,3167.7,3148.5,0.0,4110.75,0.0,0.0
68,0.88,2716.0,2367.6666666666665,3956.125,3570.3333333333335,3593.25,3676.0,4372.5,3905.6,3400.0,3787.6666666666665,2819.3333333333335,1964.0,0.0,0.0,3107.375,3530.25,2942.5,3754.25,4334.0,5052.0
69,0.89,2334.0,3131.0,3936.4,2967.25,3620.5,4192.0,3508.0,3895.0,4062.0,2979.0,2842.3333333333335,0.0,0.0,0.0,3931.0,3235.4285714285716,2926.0,3238.0,0.0,4062.0
70,0.9,3307.8481012658226,3754.710424710425,4356.668711656442,3884.221739130435,4030.1735751295337,4309.863945578231,4173.183333333333,3998.3802816901407,3965.9867256637167,3825.1641025641024,3384.1478260869567,3052.9268292682927,2172.6,5881.222222222223,3883.813157894737,3454.737541528239,4392.834586466165,4166.071428571428,5197.047619047619,4856.323529411765
71,0.91,3547.285714285714,3644.0806451612902,4214.636363636364,3975.2735042735044,4056.0671641791046,4277.916666666667,4326.53125,3909.96875,3984.6666666666665,3866.529411764706,3364.0,3097.6153846153848,2079.2,0.0,3959.2676056338028,3536.531746031746,4402.333333333333,4179.726190476191,6231.666666666667,5343.6875
72,0.92,3396.714285714286,3892.842105263158,4349.625,3828.509433962264,4104.179487179487,4428.969696969697,4169.322580645161,3856.346153846154,4127.363636363636,3888.4583333333335,3612.4615384615386,3104.777777777778,2652.5,0.0,4070.936507936508,3685.44262295082,4609.416666666667,4446.625,3932.0,5907.666666666667
73,0.93,3814.5,3929.076923076923,4084.740740740741,3899.967741935484,3959.962962962963,4054.6,4255.5625,3883.1875,4254.208333333333,4057.1875,3530.7272727272725,3091.3333333333335,2508.75,5879.0,4124.590909090909,3634.653846153846,4226.7,4134.0,0.0,0.0
74,0.94,3563.6666666666665,3683.0,4931.5,4258.0,4032.9285714285716,4448.222222222223,4316.846153846154,4067.6,4838.4,3697.714285714286,3134.0,0.0,2594.0,0.0,4449.384615384615,3801.36,5980.0,5337.666666666667,6288.0,0.0
75,0.95,2840.5,3728.4,5062.4,3680.4117647058824,4127.7692307692305,3899.6666666666665,4618.25,4096.0,4399.5,4092.3333333333335,3441.4285714285716,3209.375,2258.5,6951.0,4340.071428571428,3494.7,5182.0,3893.6666666666665,0.0,4285.5
76,0.96,2573.722222222222,3956.0,4160.4,3709.1,4361.714285714285,4143.857142857143,4253.0,3986.3125,3895.6923076923076,3067.4444444444443,2828.8333333333335,3273.5,1971.9,0.0,4205.588235294118,3546.5,4941.5,4055.1428571428573,0.0,0.0
77,0.97,2735.6666666666665,3880.6,3879.6,4197.4,4990.142857142857,4493.25,4078.0,4092.8823529411766,4786.666666666667,4282.2,2827.0,3072.0,2327.6666666666665,0.0,4404.538461538462,3959.0526315789475,0.0,4036.0,7108.0,6889.0
78,0.98,2698.4285714285716,2898.0,4414.8,3126.6666666666665,3947.6,0.0,3742.6666666666665,4217.5,3433.375,3403.5,2667.0,0.0,1927.8333333333333,0.0,4369.75,3745.3846153846152,0.0,4623.0,0.0,0.0
79,0.99,2599.8333333333335,4052.0,5837.5,5893.0,5045.875,5332.0,4780.0,5382.571428571428,4863.0,0.0,3074.0,2690.6,1845.0,0.0,4309.25,4297.6,5947.0,5993.5,0.0,0.0
80,1.0,4129.937984496124,5098.90650406504,5503.56462585034,5277.638805970149,5592.114583333333,5948.864285714286,5532.252136752137,5452.555984555985,5482.061403508772,4438.649425287356,3866.8840579710145,3561.0975609756097,2636.5238095238096,9814.363636363636,4805.424242424242,3988.7056962025317,6194.6016949152545,5783.044534412956,8149.71875,7784.9
81,1.01,4504.80198019802,5242.830721003134,6021.89349112426,5351.255533199195,5628.280991735537,6199.914027149322,5918.274143302181,5765.154241645244,5659.779187817259,4645.55785123967,4036.1111111111113,3773.0,2769.64,10363.0,4864.133709981167,4190.83962264151,6643.221052631579,5980.036855036855,9329.4,8314.675925925925
82,1.02,4581.086956521739,4950.89705882353,5963.69801980198,5456.664921465968,5784.741379310345,6699.3421052631575,6208.90625,5926.179310344827,5928.132450331126,4669.072,4100.135135135135,3588.3214285714284,3256.5555555555557,12224.42857142857,4963.630952380952,4201.015384615384,7165.377049180328,6038.056338028169,9203.045454545454,8306.684210526315
83,1.03,3804.75,4373.263157894737,6066.932926829269,5502.184466019417,5193.69014084507,6041.88,6192.698113207547,6181.068493150685,5721.549450549451,4732.866666666667,4329.875,3840.4444444444443,2953.714285714286,11365.0,5042.088495575221,4310.927272727273,6880.85,6304.88679245283,9525.833333333334,9423.105263157895
84,1.04,4100.166666666667,4591.5,6071.589928057554,5720.369369369369,5793.808823529412,7478.882352941177,6428.733333333334,6114.868852459016,6044.010638297872,4890.553846153846,4286.46875,3915.5333333333333,3037.1666666666665,12076.1,4961.104651162791,4277.73786407767,6857.216216216216,6207.469696969697,8695.1,8639.214285714286
85,1.05,3974.222222222222,4829.65,6777.6732673267325,5344.4358974358975,5621.096774193548,6159.391304347826,6286.53488372093,6960.68,6125.4078947368425,4913.723404255319,4332.3125,3764.4,2554.25,10094.555555555555,5234.923076923077,4248.774647887324,6873.4838709677415,6170.118644067797,10282.375,8930.947368421053
86,1.06,2615.5,4766.428571428572,6358.39705882353,5662.304347826087,6063.31884057971,7733.862068965517,6748.526315789473,6123.581818181819,6557.044117647059,5049.788461538462,4643.764705882353,4075.285714285714,3029.0,11957.714285714286,5202.289473684211,4403.953125,7112.0,6359.3125,8488.333333333334,9139.291666666666
87,1.07,4020.5,4876.818181818182,6525.45045045045,5379.602739726028,6319.238095238095,8557.095238095239,6935.333333333333,5857.510638297872,6172.451612903225,5190.702127659574,4718.8421052631575,4394.9,3009.6666666666665,13817.714285714286,5204.637931034483,4541.161764705882,6862.217391304348,6308.75,8472.8,9169.684210526315
88,1.08,4696.666666666667,4864.444444444444,6356.137931034483,5209.652173913043,5367.444444444444,6375.882352941177,6519.62962962963,6013.928571428572,5985.041666666667,5267.09756097561,4699.076923076923,4068.5,3051.6666666666665,9433.0,5282.910714285715,4483.547169811321,7521.411764705882,6355.5,10026.833333333334,8273.6
89,1.09,3628.6666666666665,6280.222222222223,6343.747663551402,5367.147540983607,5940.9,5912.0,6789.923076923077,6733.083333333333,6594.433962264151,5254.4807692307695,4607.0,4423.181818181818,3549.0,12042.75,5246.121212121212,4590.517241379311,7317.807692307692,6057.630434782609,8233.2,8875.6
90,1.1,4308.0,4398.777777777777,6417.087912087912,5473.389830508475,5795.173076923077,7988.0,5607.821428571428,6932.918918918919,6620.238095238095,5025.66,4444.678571428572,4149.555555555556,3723.5,9912.5,5125.9,4483.571428571428,7283.809523809524,6536.954545454545,10319.333333333334,10116.142857142857
91,1.11,5025.5,5170.0625,6834.604166666667,5396.536231884058,5805.959183673469,7654.210526315789,6548.787878787879,7809.387096774193,6659.844444444445,5091.0344827586205,4569.258064516129,4366.4,3325.6666666666665,10202.25,5180.603448275862,4635.74025974026,7407.05,6580.276595744681,11716.9,9457.76923076923
92,1.12,5617.333333333333,5014.6,6563.441558441558,5517.880597014925,5696.806451612903,6446.8,5933.789473684211,7201.035714285715,6908.833333333333,5070.627906976744,4728.72,3973.0,3854.714285714286,9392.0,5236.866666666667,4509.456140350877,7451.173913043478,6518.424242424242,8396.0,9357.866666666667
93,1.13,4575.6,4101.6,6971.734177215189,5843.705882352941,5347.884615384615,8209.153846153846,7778.0,6324.541666666667,6949.7441860465115,4998.7169811320755,4907.35,4464.285714285715,3588.5714285714284,11407.4,5246.268292682927,4562.45652173913,6961.235294117647,6469.72972972973,10862.7,10151.923076923076
94,1.14,4892.0,4906.9,6759.763888888889,5757.686274509804,6383.342857142857,6725.636363636364,7752.0,7292.709677419355,6726.622222222222,5538.611111111111,4925.8421052631575,4406.933333333333,3616.0,13690.666666666666,5331.740740740741,4729.777777777777,6896.9047619047615,6476.1875,10901.888888888889,9508.7
95,1.15,0.0,4777.5,6512.391304347826,5459.736842105263,5871.555555555556,6847.5,6997.384615384615,6656.4,6391.0625,5165.419354838709,5372.4,4524.0,3563.3333333333335,12895.0,5427.5625,4637.864864864865,7006.375,6341.5,10071.2,9175.222222222223
